Number of pairs,3747.000000
Number of unique pairs,726
Average pair frequency,5.161157
Pair entropy,6.297801

Pair,Frequency,Proportion,Entropy Term,Mutual Information
bangsa yg,3.000000,0.000801,0.005709,1.941938
bangsa orang,3.000000,0.000801,0.005709,2.937741
bangsa yahudi,3.000000,0.000801,0.005709,3.387266
bangsa filistin,5.000000,0.001334,0.008833,5.206424
bangsa kuno,3.000000,0.000801,0.005709,5.388746
bangsa kanaan,3.000000,0.000801,0.005709,4.695599
perdamaian presiden,3.000000,0.000801,0.005709,3.762972
perdamaian prabowo,3.000000,0.000801,0.005709,4.107812
dg palestina,3.000000,0.000801,0.005709,1.679487
amp palestina,7.000000,0.001868,0.011737,1.332863
amp israel,3.000000,0.000801,0.005709,1.530869
amp rakyat,3.000000,0.000801,0.005709,3.177889
krn yg,3.000000,0.000801,0.005709,3.165713
menghancurkan palestina,3.000000,0.000801,0.005709,2.883460
pemimpin palestina,3.000000,0.000801,0.005709,1.148859
pemimpin dunia,5.000000,0.001334,0.008833,4.373515
dunia palestina,11.000000,0.002936,0.017117,1.452714
dunia israel,3.000000,0.000801,0.005709,1.198735
dunia mengakui,3.000000,0.000801,0.005709,2.744659
warga palestina,30.000000,0.008006,0.038651,2.595778
warga gaza,7.000000,0.001868,0.011737,3.392503
warga negara,3.000000,0.000801,0.005709,1.818385
warga sipil,4.000000,0.001068,0.007304,5.177437
warga angka,3.000000,0.000801,0.005709,5.449371
menjamin israel,3.000000,0.000801,0.005709,3.641082
menjamin keamanan,3.000000,0.000801,0.005709,6.305037
klo palestina,3.000000,0.000801,0.005709,1.209484
klo israel,3.000000,0.000801,0.005709,2.254787
klo hamas,3.000000,0.000801,0.005709,3.562301
pidato presiden,6.000000,0.001601,0.010307,3.682929
pidato palestina,3.000000,0.000801,0.005709,0.723976
pidato prabowo,9.000000,0.002402,0.014487,4.433235
pidato sidang,4.000000,0.001068,0.007304,4.846080
pidato pbb,6.000000,0.001601,0.010307,3.848721
pidato netanyahu,3.000000,0.000801,0.005709,3.899152
netanyahu palestina,4.000000,0.001068,0.007304,0.902459
netanyahu israel,4.000000,0.001068,0.007304,1.947762
prancis palestina,3.000000,0.000801,0.005709,1.902631
prancis resmi,3.000000,0.000801,0.005709,6.247878
inggris palestina,5.000000,0.001334,0.008833,1.197061
inggris negara,5.000000,0.001334,0.008833,2.722253
umat yahudi,3.000000,0.000801,0.005709,4.967716
aksi palestina,3.000000,0.000801,0.005709,1.679487
negaranegara palestina,4.000000,0.001068,0.007304,2.072530
negaranegara mengakui,3.000000,0.000801,0.005709,4.376076
kemanusiaan palestina,4.000000,0.001068,0.007304,1.225232
orang palestina,20.000000,0.005338,0.027932,1.818749
orang israel,4.000000,0.001068,0.007304,1.254615
orang indonesia,3.000000,0.000801,0.005709,2.305218
orang yg,6.000000,0.001601,0.010307,2.101003
orang ya,3.000000,0.000801,0.005709,2.353228
orang arab,4.000000,0.001068,0.007304,3.384488
orang yahudi,5.000000,0.001334,0.008833,3.364009
orang eropa,3.000000,0.000801,0.005709,3.519662
orang tanah,3.000000,0.000801,0.005709,2.438750
aneh palestina,4.000000,0.001068,0.007304,2.477995
aneh yg,3.000000,0.000801,0.005709,3.676539
kemarin palestina,4.000000,0.001068,0.007304,2.072530
ga palestina,9.000000,0.002402,0.014487,1.469767
ga israel,3.000000,0.000801,0.005709,1.416458
ga setuju,3.000000,0.000801,0.005709,4.515731
ga ss,3.000000,0.000801,0.005709,4.611041
ga ngerti,4.000000,0.001068,0.007304,6.102696
diakui israel,3.000000,0.000801,0.005709,2.629481
diakui negara,4.000000,0.001068,0.007304,3.397051
mengakui palestina,33.000000,0.008807,0.041677,2.428724
mengakui israel,18.000000,0.004804,0.025645,2.867892
mengakui merdeka,3.000000,0.000801,0.005709,2.935715
mengakui negara,19.000000,0.005071,0.026795,3.401848
mengakui indonesia,3.000000,0.000801,0.005709,2.414418
mengakui kemerdekaan,5.000000,0.001334,0.008833,3.751922
internasional palestina,4.000000,0.001068,0.007304,1.704805
as trump,3.000000,0.000801,0.005709,5.177437
as donald,3.000000,0.000801,0.005709,5.870584
sdh palestina,4.000000,0.001068,0.007304,1.871859
pro palestina,10.000000,0.002669,0.015816,2.190313
pro israel,3.000000,0.000801,0.005709,2.031644
anak palestina,4.000000,0.001068,0.007304,2.072530
anak yg,3.000000,0.000801,0.005709,3.271074
perdana israel,5.000000,0.001334,0.008833,3.746442
perdana menteri,6.000000,0.001601,0.010307,7.028037
perdana benjamin,3.000000,0.000801,0.005709,6.334890
perdana pm,3.000000,0.000801,0.005709,7.346491
menteri israel,5.000000,0.001334,0.008833,3.140307
menteri netanyahu,3.000000,0.000801,0.005709,4.759353
menteri benjamin,6.000000,0.001601,0.010307,6.421901
menteri pm,3.000000,0.000801,0.005709,6.740355
benjamin netanyahu,10.000000,0.002669,0.015816,5.963326
yerusalem kanaan,3.000000,0.000801,0.005709,5.919374
waziri wa,3.000000,0.000801,0.005709,5.919374
waziri mkuu,4.000000,0.001068,0.007304,7.816494
